version,status,notes
1,validation_failed,component overlap: U1 with C2 | label/component overlap: rail_5v with J1 | label/component overlap: sd_card_label with SD1 | label/component overlap: U1_5V with U1 | label/component overlap: U1_3V3 with U1 | label/component overlap: U1_3V3 with C1 | label/component overlap: U1_3V3 with C2 | label/component overlap: U1_GND with U1 | label/component overlap: U1_GND with C1 | label/component overlap: U1_GND with C2 | label/component overlap: U1_A4/SDA with U1 | label/component overlap: U1_A5/SCL with U1 | label/component overlap: U1_D10/CS with U1 | label/component overlap: U2_VIN with U2 | label/component overlap: U2_GND with U2 | label/component overlap: U2_SDA with U2 | label/component overlap: U2_SCL with U2 | wire/component overlap: usb_to_5v_1 with U1 | wire/label overlap: sensor_vin_1 with rail_3v3 | wire/label overlap: sensor_vin_2 with rail_3v3 | wire/label overlap: sensor_vin_3 with rail_3v3 | wire/label overlap: sd_vcc_3 with U3_VCC | wire/label overlap: sda_1 with U1_A4/SDA | wire/label overlap: sda_3 with U2_SDA | wire/label overlap: scl_1 with U1_A5/SCL | wire/label overlap: scl_2 with scl_label | wire/label overlap: scl_3 with scl_label | wire/label overlap: scl_3 with U2_SCL | wire/label overlap: cs_1 with U1_D10/CS | wire/component overlap: cs_2 with U1 | wire/component overlap: cs_2 with C2 | wire/label overlap: cs_3 with mosi_label | wire/label overlap: cs_3 with U1_D11/MOSI | wire/label overlap: cs_3 with U3_CS | wire/label overlap: mosi_1 with U1_D11/MOSI | wire/component overlap: mosi_2 with U1 | wire/component overlap: mosi_2 with C2 | wire/label overlap: mosi_3 with miso_label | wire/label overlap: mosi_3 with U1_D12/MISO | wire/label overlap: mosi_3 with U3_MOSI | wire/label overlap: miso_1 with U1_D12/MISO | wire/component overlap: miso_2 with C1 | wire/label overlap: miso_3 with sck_label | wire/label overlap: miso_3 with U1_D13/SCK | wire/label overlap: miso_3 with U3_MISO | wire/label overlap: sck_1 with U1_D13/SCK | wire/component overlap: sck_2 with C1 | wire/label overlap: sck_3 with U3_SCK | wire/component overlap: gnd_u1 with C1 | wire/component overlap: gnd_u1 with C2 | wire/label overlap: gnd_u1 with U1_GND | wire/label overlap: gnd_u2 with U2_GND | wire/label overlap: gnd_u3 with U3_GND
1,validation_failed,label overlap: rail_3v3 with sda_label | label/component overlap: sd_card_label with SD1 | label/component overlap: U1_5V with C2 | label/component overlap: U1_5V with U1 | label/component overlap: U1_3V3 with C2 | label/component overlap: U1_3V3 with U1 | label/component overlap: U1_GND with C2 | label/component overlap: U1_GND with U1 | label/component overlap: U1_A4/SDA with U1 | label/component overlap: U1_A5/SCL with U1 | label/component overlap: U1_D10/CS with U1 | label/component overlap: U1_D11/MOSI with U1 | label/component overlap: U1_D12/MISO with U1 | label/component overlap: U2_VIN with U2 | label/component overlap: U2_GND with U2 | label/component overlap: U2_SDA with U2 | label/component overlap: U2_SCL with U2 | wire/label overlap: sensor_vin_1 with rail_3v3 | wire/label overlap: sensor_vin_2 with rail_3v3 | wire/label overlap: sd_vcc_1 with sda_label | wire/label overlap: sd_vcc_1 with scl_label | wire/label overlap: sd_vcc_2 with U1_D10/CS | wire/label overlap: sd_vcc_2 with U3_VCC | wire/label overlap: sda_1 with U1_A4/SDA | wire/label overlap: sda_2 with U1_A4/SDA | wire/label overlap: sda_2 with U1_A5/SCL | wire/label overlap: sda_3 with U1_A5/SCL | wire/label overlap: sda_3 with U2_SDA | wire/label overlap: scl_1 with U1_A5/SCL | wire/component overlap: scl_2 with U1 | wire/label overlap: scl_3 with U2_SCL | wire/label overlap: cs_1 with U1_D10/CS | wire/component overlap: cs_2 with U1 | wire/label overlap: cs_3 with U1_D12/MISO | wire/label overlap: cs_3 with U3_CS | wire/label overlap: mosi_1 with U1_D11/MOSI | wire/label overlap: mosi_2 with U1_5V | wire/label overlap: mosi_2 with U1_3V3 | wire/label overlap: mosi_2 with U1_GND | wire/label overlap: mosi_3 with U1_D13/SCK | wire/label overlap: mosi_3 with U3_MOSI | wire/label overlap: miso_1 with U1_D12/MISO | wire/component overlap: miso_2 with C2 | wire/label overlap: miso_3 with U3_MISO | wire/label overlap: sck_1 with U1_D13/SCK | wire/label overlap: sck_3 with U3_SCK | wire/label overlap: gnd_u1 with U1_GND | wire/label overlap: gnd_u2 with U2_GND | wire/label overlap: gnd_u3 with U3_GND
